,data_types,hubmap_id,origin_samples_unique_mapped_organs,uuid
199,['salmon_sn_rnaseq_10x'],HBM722.TVXP.469,['Kidney (Left)'],9fe24e50c8b8b77d86900ee4beecef69
200,['salmon_sn_rnaseq_10x'],HBM373.HCFG.722,['Kidney (Left)'],b95f34761c252ebbd1e482cd9afae73f
201,['salmon_sn_rnaseq_10x'],HBM679.ZVHH.999,['Kidney (Left)'],323c68262eb07f786041b6253e9e83ca
202,['salmon_sn_rnaseq_10x'],HBM898.XQTL.438,['Bladder'],56060793c38c82d8c312e5e05d5d189b
203,['salmon_rnaseq_snareseq'],HBM596.GJDN.437,['Heart'],e0bc8680624ee3aa097f52cc0f860f48
204,['salmon_rnaseq_snareseq'],HBM484.TPRM.625,['Heart'],24709334b135821a7d5296523da4732f
205,['salmon_rnaseq_snareseq'],HBM972.BSMV.568,['Lung (Right)'],8fc6de017a39057be8e19737ce5eff67
206,['salmon_sn_rnaseq_10x'],HBM782.HVML.355,['Kidney (Left)'],fbb43e7c05d88c8700af94a32cb4e21d
207,['salmon_rnaseq_snareseq'],HBM649.QVHW.947,['Lung (Right)'],38be64fc0790273627f5afa71479868e
208,['salmon_sn_rnaseq_10x'],HBM675.RVGB.258,['Lung (Right)'],171bd6114652ce2a1ff0e4757b5eaef9
209,['salmon_sn_rnaseq_10x'],HBM265.FQWZ.384,['Lung (Right)'],d0c1bd09443c301413f44f7108d20e08
210,['salmon_rnaseq_snareseq'],HBM364.ZLDR.283,['Lung (Right)'],ee6e44b3e6cb77ef1806e722390a01a8
211,['salmon_rnaseq_snareseq'],HBM463.SSWN.245,['Lung (Right)'],c40da13b509a43ba96d3a6832f79bf71
212,['salmon_rnaseq_snareseq'],HBM886.XJSL.755,['Lung (Right)'],4608ccb9df2505ed8f3ffe02451b4a19
213,['salmon_sn_rnaseq_10x'],HBM496.DDZC.964,['Lung (Right)'],39cca81a274a06be881734d01dcc7f66
214,['salmon_sn_rnaseq_10x'],HBM672.CMLP.763,['Lung (Right)'],f846d8a192affe8580eacd18e4e27897
215,['salmon_sn_rnaseq_10x'],HBM668.FBBS.852,['Lung (Right)'],f8f8401447d60221cef0532952e59b98
216,['salmon_sn_rnaseq_10x'],HBM646.LJJQ.322,['Lung (Right)'],e7abfa80618f6dffe82267a6ea144c5a
217,['salmon_sn_rnaseq_10x'],HBM742.LPKN.865,['Lung (Right)'],98fd7493f62883b748e0f37885be0f07
218,['salmon_sn_rnaseq_10x'],HBM983.SZNQ.449,['Lung (Left)'],425f83d73a8c5786810c0272c0c207c4
219,['salmon_sn_rnaseq_10x'],HBM455.ZNPC.327,['Lung (Right)'],922fdad6086766febc2f4a71059d6f82
220,['salmon_sn_rnaseq_10x'],HBM683.HJQF.753,['Kidney (Left)'],e375a44f5cf5457c8f9b1132574c2436
221,['salmon_sn_rnaseq_10x'],HBM938.FTRX.289,['Kidney (Left)'],5302ee81cb9692dfda92b2c5dad37198
222,['salmon_sn_rnaseq_10x'],HBM522.VFGB.335,['Kidney (Left)'],dc4f4778dd04263c0660addcc93b3807
223,['salmon_sn_rnaseq_10x'],HBM938.WTSR.492,['Kidney (Left)'],524dc341a03c155b6f4140e9d72f9b1d
224,['salmon_sn_rnaseq_10x'],HBM237.TJFZ.599,['Small Intestine'],11678046b4e78f95762acc47d3074dc5
225,['salmon_sn_rnaseq_10x'],HBM248.SGCJ.257,['Small Intestine'],4fd71a24a7a81141700b26e9a9890172
226,['salmon_sn_rnaseq_10x'],HBM528.KNNX.327,['Small Intestine'],2c718a10905c5941d4cc134a7027f808
227,['salmon_rnaseq_sciseq'],HBM927.DZCV.762,['Heart'],007f3dfaaa287d5c7c227651f61a9c5b
228,['salmon_rnaseq_sciseq'],HBM563.ZTQV.233,['Heart'],fd57a928d9f3cee7e95d284f1d5b9935
229,['salmon_sn_rnaseq_10x'],HBM739.CHRX.338,['Large Intestine'],71477f504b0069828a368009fa3ab1ad
230,['salmon_sn_rnaseq_10x'],HBM265.NQCH.947,['Large Intestine'],a5729f859fc944c76f77fc74a1710e3b
231,['salmon_sn_rnaseq_10x'],HBM764.ZFGN.389,['Large Intestine'],846e56ed969922f1cb7a81619b175620
232,['salmon_rnaseq_sciseq'],HBM592.DXHG.266,['Heart'],d6e6c8e452ed628425e9e928306a6db0
233,['salmon_rnaseq_sciseq'],HBM284.MNHF.223,['Heart'],19304b10d9e1f17af19cccb2feb014a5
234,['salmon_rnaseq_sciseq'],HBM573.MWDW.928,['Heart'],b1ac71625c1aba9d819fae1725c27a42
235,['salmon_sn_rnaseq_10x'],HBM384.LLDR.794,['Small Intestine'],ae24a29456fe677fcb97a4468eba922a
